   DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2017 JAN  3   02 38 53.0 38.6725 20.6115   11         1.1
 2017 JAN  3   02 47 57.0 38.8587 21.8750   67         2.4
 2017 JAN  3   03 17 39.0 37.8533 22.9438   14         2.2
 2017 JAN  3   03 33 39.0 38.9095 21.1340   26         1.5
 2017 JAN  3   03 39 59.0 37.4958 20.5395   24         2.0
 2017 JAN  3   04 59 54.0 38.2175 23.0575   16         2.0
 2017 JAN  3   06 04 09.0 40.3897 21.0785   10         1.8
 2017 JAN  3   06 15 37.0 35.0110 27.0382    8         2.6
 2017 JAN  3   06 20 54.0 37.5770 20.5512   12         1.5
 2017 JAN  3   09 22 31.0 38.3053 21.7895   16         1.5
 2017 JAN  3   09 30 08.0 37.8687 20.4607   15         1.4
 2017 JAN  3   10 21 07.0 39.7792 20.7093   12         1.7
 2017 JAN  3   10 30 02.0 38.4500 21.6228   13         1.2
 2017 JAN  3   12 12 52.0 40.9093 22.7185   14         1.2
 2017 JAN  3   13 24 59.0 37.5228 20.6218   12         2.0
 2017 JAN  3   16 10 32.0 38.6868 20.5957   11         1.5
 2017 JAN  3   16 13 42.0 34.9892 23.1235   15         2.7
 2017 JAN  3   16 41 48.0 37.4658 20.5145   14         2.1
 2017 JAN  3   16 58 02.0 38.4617 23.4625   12         2.3
 2017 JAN  3   19 06 20.0 39.7385 20.6717   14         2.0
 2017 JAN  3   19 12 05.0 40.9772 24.7225   15         1.0
 2017 JAN  3   19 32 24.0 39.4083 24.0953   16         1.8
 2017 JAN  3   20 34 27.0 40.9183 24.7177   13         2.0
 2017 JAN  3   20 59 42.0 40.9318 24.7170   11         1.6
 2017 JAN  3   22 09 35.0 34.9100 27.0640    6         2.6
 2017 JAN  3   22 16 33.0 38.4850 23.4467   14         2.5
 2017 JAN  3   22 55 19.0 40.1530 23.9315   11         1.6
 2017 JAN  3   23 02 29.0 40.4535 21.5197   21         2.7
 2017 JAN  3   23 13 51.0 40.9273 24.7233    9         1.8
 2017 JAN  4   00 08 38.0 36.3628 29.2442   20         3.2
 2017 JAN  4   00 46 54.0 40.3945 20.8663   13         1.8
 2017 JAN  4   00 51 08.0 38.3048 21.7798   10         2.5
 2017 JAN  4   01 01 48.0 40.9622 24.7285   10         1.2
 2017 JAN  4   01 02 18.0 40.9777 24.7225   11         1.3
 2017 JAN  4   01 07 01.0 39.3032 19.7925   26         1.7
 2017 JAN  4   01 14 21.0 38.3082 21.7732   11         1.2
 2017 JAN  4   01 35 07.0 36.2235 29.3293   11         3.2
 2017 JAN  4   03 32 29.0 39.2758 22.7768    7         2.6
 2017 JAN  4   04 26 53.0 38.1360 22.6788   15         1.9
 2017 JAN  4   04 34 22.0 42.1607 25.2922    5         2.5
 2017 JAN  4   05 27 51.0 40.9590 22.7430   11         1.4
 2017 JAN  4   07 26 31.0 35.0882 26.1748   18         3.7
 2017 JAN  4   07 35 18.0 38.9090 23.9003   14         2.1
 2017 JAN  4   08 19 16.0 37.5512 21.6407   11         2.2
 2017 JAN  4   09 11 04.0 38.3065 21.7713   10         1.9
 2017 JAN  4   11 19 43.0 37.4552 20.5043   16         3.0
 2017 JAN  4   11 51 38.0 37.3950 20.5770   14         2.2
 2017 JAN  4   12 10 50.0 37.4925 20.5765   18         2.1
 2017 JAN  4   14 01 31.0 36.5305 22.7662    6         2.2
 2017 JAN  4   20 19 13.0 39.9737 20.5568    7         1.7
 2017 JAN  4   21 03 14.0 35.6415 23.4482    5         2.8
 2017 JAN  4   21 14 21.0 40.8235 21.7350   14         1.2
 2017 JAN  4   21 28 24.0 37.7642 23.9138   10         1.3
 2017 JAN  4   21 33 40.0 35.3322 26.7503   17         3.3
 2017 JAN  4   21 52 15.0 38.3998 20.4625   26         1.4
 2017 JAN  4   22 06 53.0 36.9638 26.4872   26         2.7
 2017 JAN  4   22 47 05.0 36.8902 21.5637   26         2.5
 2017 JAN  4   23 46 15.0 34.5392 23.7660   18         3.0
 2017 JAN  4   23 59 47.0 40.3982 20.9557   12         1.8
 2017 JAN  5   00 21 05.0 37.5178 20.5782   15         2.2
 2017 JAN  5   00 48 34.0 41.3393 23.4550   18         0.9
 2017 JAN  5   02 14 27.0 37.6913 21.0873   13         1.6
 2017 JAN  5   02 47 10.0 36.9890 23.0870   11         1.6
 2017 JAN  5   04 03 31.0 37.7038 22.1707   15         2.3
 2017 JAN  5   06 03 02.0 38.3205 21.7405    4         2.6
 2017 JAN  5   07 24 09.0 40.2590 26.0885   15         2.6
 2017 JAN  5   07 24 35.0 38.4005 20.4538   16         2.2
 2017 JAN  5   08 46 32.0 38.3455 21.9892   13         1.3
 2017 JAN  5   08 57 40.0 38.3675 22.3207    9         2.3
 2017 JAN  5   09 12 49.0 38.7135 20.7580    5         1.5
 2017 JAN  5   10 08 35.0 39.0778 23.3777   10         2.4
 2017 JAN  5   11 24 30.0 38.4325 23.4720    8         1.7
 2017 JAN  5   13 24 57.0 38.3317 22.0055   13         2.0
 2017 JAN  5   13 33 44.0 38.3240 21.9805   12         1.3
 2017 JAN  5   13 36 20.0 40.4577 21.5828   22         1.7
 2017 JAN  5   13 38 21.0 38.4013 23.8267   24         2.0
 2017 JAN  5   13 47 55.0 37.4442 20.5465   10         2.0
 2017 JAN  5   13 55 11.0 40.5207 21.6443    7         1.6
 2017 JAN  5   14 05 05.0 36.4948 26.8162  115         4.5
 2017 JAN  5   14 55 32.0 38.6808 24.7462   13         1.9
 2017 JAN  5   14 57 12.0 36.0848 21.8973   14         2.3
 2017 JAN  5   15 36 42.0 40.3838 21.0435    6         2.2
 2017 JAN  5   16 07 47.0 38.4163 21.8060   10         1.7
 2017 JAN  5   16 08 24.0 40.3617 24.0340    9         1.5
 2017 JAN  5   16 41 37.0 35.2668 22.7265   13         2.6
 2017 JAN  5   18 59 15.0 39.4192 26.1947   11         2.0
 2017 JAN  5   20 26 22.0 38.6200 26.7228   14         2.5
 2017 JAN  5   21 49 48.0 40.6457 23.4475   11         1.5
 2017 JAN  5   22 47 17.0 38.3487 22.2617   18         1.6
 2017 JAN  5   23 08 18.0 40.3875 20.8722   10         2.2
 2017 JAN  5   23 12 54.0 40.3885 20.9545   11         2.3
 2017 JAN  6   00 15 04.0 38.7828 25.4090   14         2.7
 2017 JAN  6   00 23 34.0 39.3500 25.4982   10         2.7
 2017 JAN  6   00 34 26.0 39.0447 23.1168   17         2.2
 2017 JAN  6   00 59 47.0 40.0353 21.3693   14         1.6
 2017 JAN  6   06 30 58.0 37.4502 20.4785   10         2.3
 2017 JAN  6   11 26 40.0 38.2742 22.5203   18         2.8
 2017 JAN  6   12 16 32.0 38.9190 26.7343   13         2.5
 2017 JAN  6   15 01 33.0 37.4425 20.5133   11         2.1
 2017 JAN  6   16 19 29.0 40.5920 21.6543   12         1.8
 2017 JAN  6   18 49 50.0 40.6002 21.6485   15         1.7
 2017 JAN  6   19 04 36.0 38.8985 21.9713   18         1.6
 2017 JAN  6   19 22 58.0 37.8888 21.0628   20         1.9
 2017 JAN  6   19 54 55.0 38.4972 23.6647   10         2.1
 2017 JAN  6   20 53 39.0 39.8303 20.6272    7         2.5
 2017 JAN  6   21 30 38.0 38.9642 21.9857   18         1.7
 2017 JAN  7   01 41 33.0 40.5332 23.1872   11         1.7
 2017 JAN  7   01 47 28.0 37.4408 20.4778    6         2.3
 2017 JAN  7   04 03 36.0 39.8307 22.6342    5         2.1
 2017 JAN  7   05 33 57.0 39.0925 28.3035   10         3.1
