      DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2020 JAN  4   00 53 57.6 37.8506 22.2427   11         1.3
 2020 JAN  4   02 03 23.3 36.5612 22.9598   11         2.4
 2020 JAN  4   02 11 34.0 37.8671 22.2592   14         1.2
 2020 JAN  4   02 20 04.8 37.8703 22.2578   12         1.6
 2020 JAN  4   02 22 39.8 37.3892 22.0139   11         1.7
 2020 JAN  4   02 57 52.9 37.8763 22.2464   11         1.6
 2020 JAN  4   03 34 45.1 37.8603 22.2395   12         1.6
 2020 JAN  4   04 44 06.3 35.1956 23.8596   19         2.2
 2020 JAN  4   04 51 11.8 37.8548 22.2359   10         1.9
 2020 JAN  4   04 56 56.4 37.8534 22.2382   13         1.3
 2020 JAN  4   05 35 47.4 39.0916 24.2345   14         1.9
 2020 JAN  4   06 04 56.1 37.8561 22.2409   11         1.9
 2020 JAN  4   07 07 51.0 38.8586 20.7458   22         2.3
 2020 JAN  4   07 46 04.7 36.4490 28.8831    9         3.0
 2020 JAN  4   07 46 48.0 36.3602 28.6935   20         3.1
 2020 JAN  4   08 10 56.7 36.9479 22.1036    6         2.5
 2020 JAN  4   08 52 25.0 38.3601 21.8459   12         2.1
 2020 JAN  4   13 13 04.2 38.2759 22.3604   11         1.4
 2020 JAN  4   14 48 26.8 40.3830 23.2114   16         2.2
 2020 JAN  4   16 46 36.6 38.3267 25.0443    5         2.5
 2020 JAN  4   16 49 13.8 37.4002 20.7358   15         2.1
 2020 JAN  4   17 50 24.8 38.5551 24.5274   15         1.8
 2020 JAN  4   17 53 53.4 38.0778 22.0030    6         1.5
 2020 JAN  4   18 34 34.7 39.5572 19.9667   18         2.0
 2020 JAN  4   18 40 05.9 37.2903 20.7632   11         3.5
 2020 JAN  4   19 04 46.7 37.4377 20.4895    6         2.2
 2020 JAN  4   19 20 32.8 38.3098 22.1233   10         1.3
