      DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE
                   (GMT)    (N)    (E)    (km)       (Local)
 1985 FEB 24   23 33 15.3   35.44   26.79    5         4.2
 1985 FEB 25   12 47 40.0   38.26   21.63   20         3.4
 1985 FEB 25   12 49 22.7   39.71   23.73    9         3.2
 1985 FEB 25   19 26  9.4   36.46   26.72  141         3.9
 1985 FEB 27   23 08 27.0   39.04   25.45    5         3.5
 1985 FEB 28   19 37 49.1   40.14   22.61   23         3.4
 1985 MAR  1   00 15 43.3   39.98   22.67   22         3.3
 1985 MAR  1   07 29 51.4   38.15   23.17    5         2.6
 1985 MAR  1   18 21 36.2   39.16   24.51    8         3.1
 1985 MAR  1   20 01 13.6   37.85   21.89    5         3.2
 1985 MAR  1   22 43 16.8   37.41   21.63    5         3.3
 1985 MAR  2   08 28 36.4   38.20   23.21    5         2.5
 1985 MAR  2   15 21 31.8   38.19   20.60    5         3.7
 1985 MAR  2   17 31 49.8   38.35   24.35   21         2.8
 1985 MAR  3   16 27 35.2   38.28   22.22   15         3.1
 1985 MAR  4   03 40 36.0   34.99   25.32    5         4.0
 1985 MAR  6   01 11 48.3   38.85   24.85    5         3.7
 1985 MAR  6   05 08 37.8   38.87   24.82    9         3.8
 1985 MAR  6   05 22 44.2   38.71   24.96   20         3.0
 1985 MAR  7   00 39 12.2   36.79   21.71   23         3.5
 1985 MAR  8   18 03 32.4   39.29   23.33   16         3.5
 1985 MAR  9   14 29 27.5   38.25   21.65   23         3.2
 1985 MAR  9   20 12 43.9   38.73   24.93    5         2.9
 1985 MAR  9   20 58 32.6   38.74   24.92    5         3.0
 1985 MAR 10   14 52  8.6   38.61   24.73   24         3.5
 1985 MAR 10   16 10  8.3   39.64   20.46    5         3.9
 1985 MAR 11   20 34 45.5   38.62   25.00    5         3.7
 1985 MAR 12   09 51  9.5   39.43   24.00   25         4.6
 1985 MAR 13   13 41 59.4   38.03   23.17   35         2.5
 1985 MAR 14   02 00 33.1   38.84   23.60   35         2.8
 1985 MAR 14   02 43 56.3   37.00   22.69   28         3.1
 1985 MAR 14   02 45 51.7   37.28   22.62    5         3.0
 1985 MAR 14   05 24  1.1   38.06   23.18    5         2.3
 1985 MAR 14   10 18  6.8   37.35   21.95    5         3.1
 1985 MAR 14   11 00 10.4   37.03   21.25    5         3.5
 1985 MAR 14   11 35 38.5   38.55   27.69   15         4.3
