 DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2019 JAN  3   18 09 59.5 37.1337 20.5058   11         2.7
 2019 JAN  3   18 42 04.0 37.3150 20.6760   15         3.2
 2019 JAN  3   18 56 39.4 37.6117 20.4568   12         2.5
 2019 JAN  3   19 26 58.3 37.3882 20.5075    9         2.9
 2019 JAN  3   19 54 49.8 37.5640 20.7555    9         2.8
 2019 JAN  3   20 03 19.4 37.4910 20.5477    9         2.6
 2019 JAN  3   20 29 05.2 37.4215 20.9280   12         2.4
 2019 JAN  3   20 36 46.9 37.3872 20.7717   17         2.8
 2019 JAN  3   20 47 57.3 38.6103 21.4800   33         3.0
 2019 JAN  3   22 35 22.9 38.0680 23.7442   13         1.6
 2019 JAN  3   22 44 27.4 37.6122 20.6248   10         3.1
 2019 JAN  3   22 48 51.3 37.1353 20.5280   11         2.8
 2019 JAN  3   22 50 01.5 37.1220 20.4910    8         2.9
 2019 JAN  3   23 00 30.6 37.6780 20.5570   17         2.3
 2019 JAN  3   23 10 29.6 37.4588 20.4962    9         2.9
 2019 JAN  4   00 16 12.7 37.6165 20.4650    9         2.6
 2019 JAN  4   00 40 37.4 37.6305 20.8523   10         2.9
 2019 JAN  4   01 12 00.7 37.6190 20.6440    8         2.2
 2019 JAN  4   01 14 50.6 37.4323 20.3015    8         2.8
 2019 JAN  4   02 31 51.9 37.6378 20.9630   23         2.4
 2019 JAN  4   02 56 01.0 37.6350 20.5640   13         2.4
 2019 JAN  4   03 13 06.3 34.2748 25.2175   13         2.9
 2019 JAN  4   03 13 41.9 37.6593 20.5075   10         2.1
 2019 JAN  4   03 20 56.3 34.7910 22.7707   54         2.8
 2019 JAN  4   05 41 17.1 37.3935 20.5598   10         2.8
 2019 JAN  4   06 00 48.7 37.6330 20.5092   13         3.1
 2019 JAN  4   06 07 08.2 37.4387 20.4972   11         2.7
 2019 JAN  4   06 37 57.3 37.6140 20.8836    9         2.3
 2019 JAN  4   07 25 16.6 39.9758 20.5460    8         2.3
 2019 JAN  4   07 57 01.4 37.5435 20.6517   14         2.3
 2019 JAN  4   10 45 04.2 40.0173 20.5797   31         2.7
 2019 JAN  4   11 25 42.1 37.5947 20.6263    9         2.2
 2019 JAN  4   11 45 43.6 37.1713 20.6322   12         3.6
