DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2021 JAN  1   21 04 22.7 34.3835 26.1292   11         2.1
 2021 JAN  1   21 13 48.6 38.4059 21.9896    9         1.0
 2021 JAN  1   21 15 08.6 38.3047 23.4293    9         1.1
 2021 JAN  1   21 15 09.9 35.6644 26.1575   28         1.6
 2021 JAN  1   21 21 48.0 38.3858 22.0235    7         0.6
 2021 JAN  1   21 22 12.7 38.3867 22.0445   12         0.8
 2021 JAN  1   21 48 09.8 38.3849 22.0711   12         0.4
 2021 JAN  1   21 50 57.8 38.3849 22.0235    9         0.7
 2021 JAN  1   22 00 03.1 38.3867 22.0390    9         2.3
 2021 JAN  1   22 08 58.5 38.2443 25.7309   16         1.8
 2021 JAN  1   22 14 58.9 37.6053 25.8609   17         2.1
 2021 JAN  1   22 29 51.4 38.4123 22.0372   12         0.5
 2021 JAN  1   22 38 46.7 35.5527 24.6341   33         1.8
 2021 JAN  1   23 32 11.1 38.3922 21.9914    6         0.8
 2021 JAN  1   23 33 12.1 38.3739 22.0473    9         0.8
 2021 JAN  1   23 41 42.3 38.3281 22.1233   11         1.0
 2021 JAN  2   00 04 54.7 38.3775 22.0427    7         0.8
 2021 JAN  2   00 09 40.3 38.4013 22.0024    8         1.1
 2021 JAN  2   00 17 38.2 34.8917 26.2820    6         2.3
 2021 JAN  2   01 04 22.0 38.3917 22.0148    7         0.8
 2021 JAN  2   01 10 37.6 39.5471 25.9900   14         1.4
 2021 JAN  2   01 17 49.5 37.5485 21.4883   41         2.2
 2021 JAN  2   01 31 29.2 38.4160 21.9841    8         1.0
 2021 JAN  2   01 40 01.1 38.2796 21.4687   33         1.3
 2021 JAN  2   01 43 11.4 36.0928 27.3056   12         2.4
 2021 JAN  2   01 49 25.1 37.5320 20.6552   17         3.1
 2021 JAN  2   02 14 21.3 36.1047 27.3230   11         2.4
 2021 JAN  2   02 25 24.3 37.8864 26.6034   18         3.7
 2021 JAN  2   03 33 30.2 38.4242 20.4716   18         2.2
 2021 JAN  2   03 40 02.7 38.3720 22.0271    9         1.3
 2021 JAN  2   03 42 02.6 38.3890 22.0523    7         0.7
 2021 JAN  2   03 53 48.8 36.3959 21.3666   35         2.3
 2021 JAN  2   03 55 55.3 38.3931 22.0390    9         1.1
 2021 JAN  2   04 19 32.9 36.4078 21.5854   20         2.1
 2021 JAN  2   04 23 28.2 38.5213 21.6151   18         1.1
 2021 JAN  2   04 23 39.1 38.9767 27.9099   10         2.9
 2021 JAN  2   05 58 09.4 38.3899 22.0203   12         1.1
 2021 JAN  2   06 05 45.0 38.3794 22.0024    7         0.3
 2021 JAN  2   06 06 46.4 38.3977 22.0143    8         0.4
 2021 JAN  2   06 33 32.0 37.7536 26.8661   15         2.8
 2021 JAN  2   06 43 42.3 38.2210 21.8477   18         1.1
 2021 JAN  2   08 22 16.0 38.3839 22.0290    6         0.6
 2021 JAN  2   08 45 02.2 38.3917 21.9818    7         1.1
 2021 JAN  2   08 45 26.4 35.7944 25.7620   17         2.1
 2021 JAN  2   09 23 14.1 38.3949 22.0500    9         1.8
 2021 JAN  2   10 43 18.4 38.3940 22.0518    9         1.1
 2021 JAN  2   14 09 30.0 35.8511 23.5117   10         2.0
 2021 JAN  2   14 16 28.5 38.4750 25.4507   23         2.2
 2021 JAN  2   15 21 31.8 34.5905 24.8602   32         1.9
 2021 JAN  2   15 40 32.9 38.7845 23.5410   17         1.6
 2021 JAN  2   16 01 49.0 37.8470 26.4120   12         3.0
 2021 JAN  2   16 11 33.1 35.3270 24.2006   18         1.7
 2021 JAN  2   16 26 44.5 37.9875 21.5282   29         1.8
 2021 JAN  2   16 52 12.2 38.3867 22.0308    7         2.3
 2021 JAN  2   16 53 50.0 38.3995 22.0473   10         2.0
 2021 JAN  2   17 01 14.2 38.3986 22.0390    9         2.1
 2021 JAN  2   17 14 47.8 38.4013 22.0271    8         0.5
 2021 JAN  2   17 22 35.9 35.4620 22.9523   14         2.2
 2021 JAN  2   17 31 05.4 36.0709 27.5656    6         2.5
 2021 JAN  2   17 36 27.2 38.3977 22.0399    7         1.9
 2021 JAN  2   17 43 11.4 37.8598 26.8771   14         2.8
 2021 JAN  2   17 47 59.2 36.0178 23.5062    2         2.2
 2021 JAN  2   17 56 24.7 38.2246 24.1649   19         1.3
 2021 JAN  2   18 10 34.6 38.3908 22.0029    7         1.0
 2021 JAN  2   18 24 43.9 35.3934 26.0751   20         2.2
 2021 JAN  2   18 45 06.7 37.7023 23.4329    9         1.3
 2021 JAN  2   19 06 15.8 38.3968 22.0500    9         1.4
 2021 JAN  2   19 15 20.6 37.6016 23.7076   15         1.7
 2021 JAN  2   19 36 52.7 38.4091 22.0285    9         1.3
 2021 JAN  2   19 45 51.7 37.5760 23.5886   24         1.5
 2021 JAN  2   20 16 34.7 37.7568 23.5103   17         1.3
 2021 JAN  2   20 25 53.0 39.1063 21.6966   12         2.5
 2021 JAN  2   20 36 53.1 38.3762 21.9974    6         2.0
 2021 JAN  2   20 59 04.9 37.8328 23.5121   27         1.2
 2021 JAN  2   21 05 14.7 34.8624 25.1376   17         1.7
 2021 JAN  2   22 10 05.2 38.4050 22.0409   10         2.0
 2021 JAN  2   22 27 59.1 38.4000 22.0486    9         1.6
 2021 JAN  2   22 28 15.7 38.4059 22.0482    9         1.5
 2021 JAN  2   23 00 52.8 37.7298 22.8159    9         1.3
 2021 JAN  2   23 30 20.3 36.0631 25.0648   12         3.0
 2021 JAN  2   23 50 23.8 36.0745 25.0589   15         1.8
 2021 JAN  3   00 24 10.4 35.1334 27.0712    6         2.0
 2021 JAN  3   01 11 17.7 38.3835 22.0248    9         1.1
 2021 JAN  3   01 41 52.6 35.2066 26.2619   24         2.1
 2021 JAN  3   02 09 23.2 38.3784 22.0107    8         1.5
 2021 JAN  3   02 57 32.7 34.8404 23.8669   44         1.8
 2021 JAN  3   04 54 01.8 38.3963 21.9864    6         0.9
 2021 JAN  3   05 00 45.5 38.4306 21.9420    8         1.2
 2021 JAN  3   05 02 31.4 38.4050 22.0299    8         0.9
 2021 JAN  3   06 24 58.5 38.6838 22.8580    7         1.5
 2021 JAN  3   07 34 44.1 38.3867 22.0033    8         0.7
 2021 JAN  3   09 15 22.8 38.9561 23.1688   12         3.3
 2021 JAN  3   10 09 54.8 39.7549 24.1855   22         2.5
 2021 JAN  3   10 35 58.0 34.3176 25.5725   14         2.5
 2021 JAN  3   11 12 40.7 37.8818 26.4029    8         2.9
 2021 JAN  3   12 58 11.8 39.2816 20.5682   16         2.0
 2021 JAN  3   13 13 04.6 38.4796 25.4938   20         3.2
 2021 JAN  3   13 21 12.5 37.5650 20.6735   16         2.2
 2021 JAN  3   13 27 55.6 38.3839 22.0253    7         2.0
 2021 JAN  3   13 27 55.9 35.7619 25.6819   12         2.0
 2021 JAN  3   13 40 41.4 38.3958 21.9722    6         1.1
 2021 JAN  3   13 41 13.9 38.4023 21.9914    6         0.2
 2021 JAN  3   14 04 46.9 38.3766 22.0290    8         1.1
 2021 JAN  3   14 17 56.7 38.3876 22.0116    6         0.5
 2021 JAN  3   14 35 46.6 34.6664 23.9401   21         2.1
 2021 JAN  3   14 38 34.4 38.4682 21.8111   14         1.2
 2021 JAN  3   14 42 29.3 34.1034 25.8014    7         2.6
 2021 JAN  3   15 16 23.3 37.8635 26.4084   12         3.1
 2021 JAN  3   15 33 07.6 37.0578 20.7156    6         2.3
 2021 JAN  3   15 37 37.9 38.3835 21.9992    6         1.4
 2021 JAN  3   16 11 35.9 40.0850 22.7275   11         3.0
 2021 JAN  3   16 15 40.9 37.3357 22.2441   10         2.1
 2021 JAN  3   16 37 57.3 39.9188 24.0363   17         1.9
 2021 JAN  3   17 15 28.8 37.8488 26.8607   14         2.9
 2021 JAN  3   18 09 20.2 38.3894 21.9978    8         1.9
 2021 JAN  3   18 12 15.7 38.3771 22.0477   13         1.1
 2021 JAN  3   18 38 54.5 38.3963 22.0065   12         1.6
 2021 JAN  3   19 11 50.7 38.3784 22.0107    9         1.5
 2021 JAN  3   19 23 17.2 38.8069 20.9578   14         1.7
 2021 JAN  3   19 50 12.0 38.1638 22.6401   10         1.6
 2021 JAN  3   20 05 00.0 34.9338 24.3979   14         2.1
 2021 JAN  3   20 51 28.4 35.6790 27.7908    7         2.7
 2021 JAN  3   23 57 13.1 38.3070 23.4846    6         1.5
 2021 JAN  4   01 02 14.1 34.6866 25.1871   11         2.5
 2021 JAN  4   01 31 49.4 38.3867 22.0363    8         1.3
 2021 JAN  4   01 43 26.3 37.1265 23.9429   14         2.1
 2021 JAN  4   01 59 08.6 38.3913 22.0317    9         1.4
 2021 JAN  4   02 07 18.5 37.5366 21.1597   20         2.0
 2021 JAN  4   04 23 15.1 37.9156 21.5350   23         1.7
 2021 JAN  4   06 03 54.3 34.7452 25.3244   11         2.7
 2021 JAN  4   07 30 50.0 38.3908 22.0377    6         0.6
 2021 JAN  4   09 18 05.7 38.4032 22.0116   11         1.5
 2021 JAN  4   09 42 40.5 38.5611 21.6202   19         1.4
 2021 JAN  4   10 11 21.9 34.2627 25.5615    9         2.7
 2021 JAN  4   13 56 57.9 38.2169 25.8298   18         3.1
 2021 JAN  4   15 53 35.8 35.4904 26.5530   11         2.5
 2021 JAN  4   15 57 54.2 38.3780 22.0432   12         1.4
 2021 JAN  4   17 05 07.1 39.3777 20.1517    7         2.5
 2021 JAN  4   23 54 54.7 38.0727 21.7992   22         1.9
 2021 JAN  5   01 24 01.8 37.6781 22.5993   62         3.0
 2021 JAN  5   01 59 50.1 34.6564 24.7357   29         2.4
 2021 JAN  5   02 04 14.0 38.3917 22.0184    9         2.3
 2021 JAN  5   02 33 39.5 38.3853 22.0065   11         1.4
 2021 JAN  5   03 06 23.2 35.5417 26.7068    6         2.4
 2021 JAN  5   03 11 32.2 38.3913 22.0280   10         1.3
 2021 JAN  5   04 18 26.0 37.8676 26.7458   11         2.9
 2021 JAN  5   06 22 33.3 38.3867 22.0006    8         1.4
 2021 JAN  5   08 49 18.7 38.9346 21.1642   34         1.7
 2021 JAN  5   11 19 14.1 39.4418 20.6790   12         1.8
 2021 JAN  5   12 20 56.4 38.9200 23.3432   12         2.7
 2021 JAN  5   14 22 26.1 38.4787 26.9412   10         2.8
 2021 JAN  5   15 24 06.7 39.9344 24.0060   14         2.2
 2021 JAN  5   15 32 11.6 38.3871 22.0230    8         1.5
 2021 JAN  5   16 36 36.8 38.3633 21.9516    9         1.1
 2021 JAN  5   16 47 42.0 34.4266 25.3116   25         3.4
 2021 JAN  5   17 22 42.1 38.3890 21.9955    6         0.9
 2021 JAN  5   18 20 11.1 38.4055 21.9717    8         1.0
 2021 JAN  5   18 47 32.4 34.7763 24.0939   10         2.2
 2021 JAN  5   20 03 47.1 38.3821 22.0665   10         0.7
 2021 JAN  5   20 36 06.9 37.5275 21.9781   12         1.7
 2021 JAN  5   21 29 12.3 38.5057 23.2503   13         2.0
 2021 JAN  5   21 50 32.0 38.6559 23.3730   13         1.8
 2021 JAN  5   22 14 29.1 34.3341 25.3217   15         2.2
 2021 JAN  5   22 15 06.1 37.2720 20.7559   17         2.3
 2021 JAN  5   23 40 30.0 38.3858 22.0061    6         0.9
 2021 JAN  6   00 32 04.3 36.9722 22.7623   12         2.4
 2021 JAN  6   01 14 38.0 38.3958 22.0198    8         3.6
 2021 JAN  6   01 18 46.5 38.3803 22.0290    8         1.1
 2021 JAN  6   01 28 40.8 38.3949 22.0244    9         1.9
 2021 JAN  6   01 45 33.7 38.3949 22.0235    9         1.5
 2021 JAN  6   01 53 50.9 38.3780 21.9937   10         2.1
 2021 JAN  6   02 01 52.5 38.4261 23.3711    6         1.5
 2021 JAN  6   02 25 03.4 38.3858 22.0409    9         2.1
 2021 JAN  6   02 37 51.3 38.3766 22.0134    8         0.6
 2021 JAN  6   02 37 58.6 38.3821 22.0528    7         2.1
 2021 JAN  6   02 41 57.5 38.3784 22.0436    8         1.6
 2021 JAN  6   03 51 20.0 38.3821 22.0317   11         1.6
 2021 JAN  6   03 53 12.4 38.3931 22.0390   10         2.0
 2021 JAN  6   04 42 00.3 37.6566 24.0152    7         1.1
 2021 JAN  6   04 44 22.6 38.3853 22.0651    9         1.3
 2021 JAN  6   05 03 25.7 39.9156 21.3249   12         1.7
 2021 JAN  6   05 07 56.6 38.3926 24.1196   13         1.4
 2021 JAN  6   05 13 21.1 38.3867 22.0280    7         1.1
 2021 JAN  6   05 18 53.9 38.4251 21.9109   10         2.9
 2021 JAN  6   05 52 40.8 34.3469 25.2942   32         2.3
 2021 JAN  6   06 55 34.2 39.3672 20.5605   11         2.8
 2021 JAN  6   07 05 03.3 38.3803 22.0482   11         1.8
 2021 JAN  6   07 22 12.9 37.6712 24.0939    6         1.2
 2021 JAN  6   07 29 00.5 38.3784 22.0161    7         1.1
 2021 JAN  6   08 00 17.9 38.3748 22.0152   11         1.5
 2021 JAN  6   08 35 33.1 38.3871 22.0450   12         1.2
 2021 JAN  6   09 19 13.0 38.3899 22.0056    7         1.0
 2021 JAN  6   09 30 27.3 38.3748 22.0152   11         1.0
 2021 JAN  6   09 39 23.8 38.3437 21.7561   11         2.6
 2021 JAN  6   10 20 27.9 38.3894 22.0015    7         1.7
 2021 JAN  6   10 22 21.1 34.6710 23.9886   23         2.5
 2021 JAN  6   11 31 16.7 38.3839 22.0308    6         1.4
 2021 JAN  6   11 56 44.4 34.7708 25.2567    9         2.0
 2021 JAN  6   12 05 10.4 37.1219 23.9182    6         2.3
 2021 JAN  6   14 06 04.3 36.7776 25.7364    7         2.6
 2021 JAN  6   14 27 24.6 38.3798 22.0230    7         0.9
 2021 JAN  6   14 35 05.2 37.9568 21.5762   24         1.8
 2021 JAN  6   15 28 32.9 38.3844 22.0294    6         0.3
 2021 JAN  6   15 45 49.2 38.3798 22.0248    8         1.0
 2021 JAN  6   15 46 22.3 38.3885 22.0107    7         2.5
 2021 JAN  6   16 04 25.2 38.3757 22.0253    8         1.5
 2021 JAN  6   16 34 50.8 38.3894 22.0061    6         1.2
 2021 JAN  6   16 36 36.0 38.3899 22.0496    8         0.7
 2021 JAN  6   16 51 41.1 38.3849 22.0079    6         1.2
 2021 JAN  6   16 52 18.0 38.3981 22.0102    7         1.0
 2021 JAN  6   17 27 42.3 38.3647 22.0107    6         1.0
 2021 JAN  6   17 36 34.9 38.8161 20.9175    8         2.1
 2021 JAN  6   17 47 30.0 38.3867 21.9933    7         1.1
 2021 JAN  6   17 48 40.0 38.3748 21.9969    9         0.4
 2021 JAN  6   17 52 22.4 38.7314 25.5093   18         2.1
 2021 JAN  6   19 16 41.1 37.7650 21.9859   18         1.4
 2021 JAN  6   19 18 20.5 38.3615 22.0377    7         0.2
 2021 JAN  6   19 25 48.0 34.5895 23.8834   18         1.7
 2021 JAN  6   19 39 09.9 38.7405 25.5075   20         2.3
 2021 JAN  6   19 51 18.1 35.8456 23.1070    6         2.3
 2021 JAN  6   20 20 56.9 37.9362 23.3784   14         1.3
 2021 JAN  6   20 26 07.3 38.2718 26.5237   34         2.7
 2021 JAN  6   21 27 36.9 38.3743 22.0230    6         1.0
 2021 JAN  6   21 29 57.2 36.6595 26.9183  124         3.9
 2021 JAN  6   21 38 19.6 37.9619 21.5639   23         1.6
 2021 JAN  6   22 32 54.9 36.2686 22.1219    9         2.3
 2021 JAN  6   22 35 41.5 35.0253 24.5609    8         2.0
 2021 JAN  6   22 46 21.6 38.3835 22.0212    9         1.3
 2021 JAN  6   22 50 43.3 35.2872 24.2459   16         1.6
 2021 JAN  6   23 18 57.4 34.4897 26.1841   81         2.0
 2021 JAN  6   23 47 51.7 34.3652 25.5762   28         1.7
 2021 JAN  6   23 56 48.2 38.3835 22.0432   11         1.3
 2021 JAN  7   00 45 16.3 38.3908 22.0395    8         1.4
 2021 JAN  7   00 56 22.5 38.3780 22.0322    8         1.1
 2021 JAN  7   00 58 15.3 40.1559 25.0919   17         3.8
 2021 JAN  7   01 27 14.9 34.7946 24.8538   26         1.2
 2021 JAN  7   01 28 34.7 38.3853 22.0303    6         0.8
 2021 JAN  7   02 12 31.3 38.3871 22.3233   10         1.2
 2021 JAN  7   03 42 54.0 38.3803 22.0024    9         2.4
 2021 JAN  7   03 47 22.6 37.8836 21.5085   27         1.5
 2021 JAN  7   04 27 07.7 40.1431 25.0992   23         2.1
 2021 JAN  7   04 58 56.4 37.6474 24.1525   10         1.5
 2021 JAN  7   05 21 40.9 37.8685 21.1940    6         1.7
 2021 JAN  7   05 46 22.4 37.6913 22.7792   70         2.0
 2021 JAN  7   06 15 38.0 37.8030 24.1434   15         1.1
 2021 JAN  7   06 45 12.3 38.1464 20.3851   18         2.4
 2021 JAN  7   06 46 42.7 38.1606 22.6341   14         2.4
 2021 JAN  7   09 14 02.5 38.3739 21.9914    9         1.2
 2021 JAN  7   09 14 51.3 38.3849 22.0171    8         1.5
 2021 JAN  7   09 25 45.1 38.3784 22.0518    8         1.5
 2021 JAN  7   12 52 44.1 38.1491 23.4714    7         1.4
 2021 JAN  7   13 01 14.0 38.2054 23.1789   19         2.4
 2021 JAN  7   13 24 53.4 38.4032 22.0399   10         1.5
 2021 JAN  7   13 31 42.5 38.4004 22.0143    8         1.8
 2021 JAN  7   15 28 26.5 37.3764 20.7999   11         2.7
 2021 JAN  7   16 56 35.5 38.1491 25.9579   10         2.4
 2021 JAN  7   18 30 37.7 40.1336 20.4234    5         2.0
 2021 JAN  7   18 46 11.3 34.7516 25.5597    8         2.1
 2021 JAN  7   20 00 04.5 38.3922 22.0143    6         1.6
 2021 JAN  7   20 49 02.9 38.3757 22.3375   14         1.5
 2021 JAN  7   20 53 49.5 37.2784 20.7220    9         2.7
 2021 JAN  7   21 54 15.7 34.5538 23.7909   19         1.8
 2021 JAN  7   21 57 52.4 38.3743 21.9955    7         0.4
 2021 JAN  7   21 58 09.9 38.3748 22.0509    8         1.0
 2021 JAN  7   22 01 03.6 38.3867 22.0308   11         1.1
 2021 JAN  7   22 26 07.6 38.3757 22.0290   12         1.2
 2021 JAN  7   23 07 04.8 37.8868 21.3560   18         2.7
 2021 JAN  7   23 48 32.0 34.7195 24.8575   28         1.1
 2021 JAN  8   00 13 10.4 38.2626 23.6234   16         2.1
 2021 JAN  8   01 13 28.8 36.3199 24.1159   68         2.5
 2021 JAN  8   01 46 50.5 34.8935 23.0887   16         3.4
 2021 JAN  8   03 29 11.8 40.5885 22.5398   17         2.2
 2021 JAN  8   03 47 44.4 37.3814 22.1114   13         1.8
 2021 JAN  8   04 32 48.8 37.5339 23.4549    6         0.8
 2021 JAN  8   04 47 52.1 36.0800 23.2571   16         1.8
 2021 JAN  8   04 53 00.0 37.0688 20.3806    6         3.2
 2021 JAN  8   05 13 23.3 37.9596 21.5497   24         2.2
 2021 JAN  8   06 55 05.9 37.7980 21.2764   26         3.5
 2021 JAN  8   07 49 48.7 34.7598 25.0644   12         1.6
 2021 JAN  8   07 56 39.3 35.0418 24.2587   26         2.2
 2021 JAN  8   08 47 50.1 39.9545 23.9566    6         2.2
 2021 JAN  8   09 08 24.5 37.8603 21.1482   12         2.4
 2021 JAN  8   09 13 16.8 37.5430 20.5984   17         2.8
 2021 JAN  8   09 16 54.8 37.9514 21.5268   28         2.0
 2021 JAN  8   09 35 13.6 38.3235 22.0866   12         1.3
 2021 JAN  8   13 46 57.1 38.2320 23.9488    9         1.6
 2021 JAN  8   14 28 14.8 36.5973 24.9152   13         2.6
 2021 JAN  8   15 01 19.6 37.4922 22.0857   12         2.2
 2021 JAN  8   17 08 19.9 37.3604 20.7024   14         3.0
 2021 JAN  8   17 11 16.9 36.0114 23.2050   14         2.4
 2021 JAN  8   17 29 28.2 34.1052 25.8875   35         2.4
 2021 JAN  8   18 15 33.0 36.9786 22.7806   13         2.1
 2021 JAN  8   19 00 40.8 38.1573 22.5751   12         1.5
 2021 JAN  8   19 16 27.3 38.6600 21.4316   34         1.4
 2021 JAN  8   19 21 15.4 38.6819 21.4261   10         2.3
 2021 JAN  8   19 22 47.0 38.6581 21.4462   25         2.2
 2021 JAN  8   19 23 22.5 38.6554 21.4508   24         2.5
 2021 JAN  8   20 20 28.0 38.6600 21.4792   24         1.4
 2021 JAN  8   20 21 10.1 38.4050 21.9850    8         0.7
 2021 JAN  8   20 25 29.9 38.6632 21.4503   30         1.4
 2021 JAN  8   20 28 53.3 38.6449 21.4476   29         1.5
 2021 JAN  8   21 41 29.1 38.3784 22.0235    8         1.0
 2021 JAN  8   22 03 59.1 38.2700 22.3672   12         1.4
 2021 JAN  8   22 17 37.5 37.8195 26.6592   10         2.7
 2021 JAN  8   23 08 38.3 39.9326 24.0372   19         2.9
 2021 JAN  8   23 20 36.4 39.9335 24.0472   18         2.9
 2021 JAN  8   23 31 27.9 38.3890 22.0047    9         1.1
 2021 JAN  8   23 57 31.9 35.6589 26.3077    9         2.9
 2021 JAN  9   00 00 57.2 35.6268 26.3068   12         1.5
 2021 JAN  9   00 06 40.0 35.6451 26.3141   14         3.4
 2021 JAN  9   00 14 31.5 35.6442 26.3150   17         3.2
 2021 JAN  9   00 18 03.8 35.6497 26.3095   17         3.1
 2021 JAN  9   00 40 09.1 35.6973 26.3132   11         3.0
 2021 JAN  9   00 42 08.9 35.6570 26.2839   16         1.9
 2021 JAN  9   00 43 50.0 35.6534 26.2949    9         2.3
 2021 JAN  9   01 25 22.0 40.2109 20.5270    6         2.6
 2021 JAN  9   01 40 38.5 35.6699 26.2985    8         2.9
 2021 JAN  9   01 57 31.6 37.8964 27.1555   13         1.9
 2021 JAN  9   02 05 51.7 38.3949 21.9841    7         1.3
 2021 JAN  9   02 10 27.4 36.4499 22.1970   14         2.4
 2021 JAN  9   02 20 07.8 38.4050 21.9960    9         1.5
 2021 JAN  9   02 26 30.7 38.4261 23.3647    9         2.1
 2021 JAN  9   02 34 57.6 38.3501 21.8019   11         1.1
 2021 JAN  9   04 20 01.7 35.1599 23.1921   45         2.5
 2021 JAN  9   04 33 55.3 35.6195 26.3287   24         4.0
 2021 JAN  9   04 44 19.4 35.7111 26.1237   27         2.9
 2021 JAN  9   05 32 54.5 35.5820 26.3443   28         2.3
 2021 JAN  9   05 38 44.7 38.3986 21.9987    8         2.7
 2021 JAN  9   05 47 21.6 37.9564 21.5437   24         2.4
 2021 JAN  9   05 59 17.6 37.9362 21.4934   20         1.5
 2021 JAN  9   06 26 36.9 35.6406 26.3113   20         2.8
 2021 JAN  9   06 57 15.2 37.9257 21.5378   26         1.6
 2021 JAN  9   07 08 27.4 38.8980 24.0097    6         1.9
 2021 JAN  9   07 28 05.1 35.6534 26.3132   11         2.5
 2021 JAN  9   07 48 08.1 38.6636 22.5046   19         1.8
 2021 JAN  9   08 26 23.6 39.1978 21.7982   15         1.7
 2021 JAN  9   08 28 12.2 38.4041 21.9951    8         2.3
 2021 JAN  9   09 20 44.1 37.5156 19.7525    4         2.5
